geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037123204,6037123204,2022,3281,13,0,13
1400000US06037123205,6037123205,2022,2767,38,0,38
1400000US06037123206,6037123206,2022,2289,14,0,14
1400000US06037123301,6037123301,2022,4302,37,0,37
1400000US06037123303,6037123303,2022,2996,23,0,23
1400000US06037123304,6037123304,2022,4467,8,0,8
1400000US06037123410,6037123410,2022,3826,5,0,5
1400000US06037123420,6037123420,2022,4731,4,0,4
1400000US06037123510,6037123510,2022,5079,2,0,2
1400000US06037123520,6037123520,2022,2700,2,0,2
1400000US06037123601,6037123601,2022,4811,2,0,2
1400000US06037123602,6037123602,2022,3412,0,0,0
1400000US06037123700,6037123700,2022,4474,3,0,3
1400000US06037123800,6037123800,2022,5753,88,63,25
1400000US06037123901,6037123901,2022,4158,42,0,42
1400000US06037123902,6037123902,2022,2791,8,0,8
1400000US06037124000,6037124000,2022,4836,2,0,2
1400000US06037124102,6037124102,2022,3597,16,0,16
1400000US06037124103,6037124103,2022,1956,5,0,5
1400000US06037124104,6037124104,2022,2596,6,0,6
1400000US06037124105,6037124105,2022,2428,13,0,13
1400000US06037124201,6037124201,2022,3496,21,0,21
1400000US06037124203,6037124203,2022,2069,1,0,1
1400000US06037124204,6037124204,2022,2104,12,0,12
1400000US06037124300,6037124300,2022,2894,33,0,33
1400000US06037124400,6037124400,2022,4695,3,0,3
1400000US06037124500,6037124500,2022,2813,1,0,1
1400000US06037124600,6037124600,2022,2718,0,0,0
1400000US06037124700,6037124700,2022,5323,31,0,31
1400000US06037124902,6037124902,2022,3294,0,0,0
1400000US06037124903,6037124903,2022,3979,1,0,1
1400000US06037125101,6037125101,2022,3819,5,0,5
1400000US06037125102,6037125102,2022,1838,5,0,5
1400000US06037125200,6037125200,2022,3757,68,35,33
1400000US06037125310,6037125310,2022,3525,80,0,80
1400000US06037125321,6037125321,2022,2718,23,0,23
1400000US06037125322,6037125322,2022,1979,33,0,33
1400000US06037125402,6037125402,2022,4520,11,0,11
1400000US06037125403,6037125403,2022,2344,7,0,7
